Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Buka URL Web,Chrome 131.0.0.0,,,08-12-2024 15:20:19,08-12-2024 15:21:02,42.153s,PASSED
,,,,,,,
Test Cases/TC - OW 001/TC 001 Link website benar,Chrome 131.0.0.0,,,08-12-2024 15:20:20,08-12-2024 15:20:42,21.975s,PASSED
"openBrowser(""https://opensource-demo.orangehrmlive.com/web/index.php/"")",Chrome 131.0.0.0,,,08-12-2024 15:20:21,08-12-2024 15:20:38,17.415s,PASSED
maximizeWindow(),Chrome 131.0.0.0,,,08-12-2024 15:20:38,08-12-2024 15:20:40,1.991s,PASSED
"verifyElementPresent(findTestObject(""Login/textLogin""), 0)",Chrome 131.0.0.0,,,08-12-2024 15:20:40,08-12-2024 15:20:42,1.633s,PASSED
,,,,,,,
Test Cases/TC - OW 001/TC 002 Link website salah,Chrome 131.0.0.0,,,08-12-2024 15:20:42,08-12-2024 15:21:02,19.327s,PASSED
"openBrowser(""www.google.com"")",Chrome 131.0.0.0,,,08-12-2024 15:20:44,08-12-2024 15:20:58,13.652s,PASSED
maximizeWindow(),Chrome 131.0.0.0,,,08-12-2024 15:20:58,08-12-2024 15:20:58,0.683s,PASSED
"verifyMatch(""https://opensource-demo.orangehrmlive.com/web/index.php"", ""https://opensource-demo.orangehrmlive.com/web/index.php"", false)",Chrome 131.0.0.0,,,08-12-2024 15:20:58,08-12-2024 15:20:58,0.134s,PASSED
delay(2),Chrome 131.0.0.0,,,08-12-2024 15:20:58,08-12-2024 15:21:01,2.239s,PASSED
closeBrowser(),Chrome 131.0.0.0,,,08-12-2024 15:21:01,08-12-2024 15:21:02,0.821s,PASSED
