Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Tambah Data Karyawan,Chrome 131.0.0.0,,,09-12-2024 17:45:49,09-12-2024 17:58:21,"12m - 32,283s",FAILED
,,,,,,,
Test Cases/TC - TK 004/TC 001 Membuka fitur PIM,Chrome 131.0.0.0,,,09-12-2024 17:45:50,09-12-2024 17:46:49,"58,333s",PASSED
"callTestCase(findTestCase(""TC - LW 002/TC 001 Login berhasil""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,09-12-2024 17:45:52,09-12-2024 17:46:44,"51,878s",PASSED
"click(findTestObject(""PIM/buttonMenupim""))",Chrome 131.0.0.0,,,09-12-2024 17:46:44,09-12-2024 17:46:47,"2,229s",PASSED
"verifyElementPresent(findTestObject(""Dashboard/textDashboard""), 0)",Chrome 131.0.0.0,,,09-12-2024 17:46:47,09-12-2024 17:46:49,"2,033s",PASSED
,,,,,,,
Test Cases/TC - TK 004/TC 002 Buat data karyawan,Chrome 131.0.0.0,,,09-12-2024 17:46:49,09-12-2024 17:47:49,"1m - 0,045s",PASSED
"callTestCase(findTestCase(""TC - LW 002/TC 001 Login berhasil""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,09-12-2024 17:46:49,09-12-2024 17:47:28,"38,280s",PASSED
"click(findTestObject(""PIM/buttonMenupim""))",Chrome 131.0.0.0,,,09-12-2024 17:47:28,09-12-2024 17:47:31,"3,511s",PASSED
"verifyElementPresent(findTestObject(""Dashboard/textDashboard""), 0)",Chrome 131.0.0.0,,,09-12-2024 17:47:31,09-12-2024 17:47:35,"3,548s",PASSED
"click(findTestObject(""PIM/addButton""))",Chrome 131.0.0.0,,,09-12-2024 17:47:35,09-12-2024 17:47:36,"1,583s",PASSED
"click(findTestObject(""PIM/inputFirstname""))",Chrome 131.0.0.0,,,09-12-2024 17:47:36,09-12-2024 17:47:38,"1,756s",PASSED
"setText(findTestObject(""PIM/inputFirstname""), ""Rafki"")",Chrome 131.0.0.0,,,09-12-2024 17:47:38,09-12-2024 17:47:39,"1,088s",PASSED
"click(findTestObject(""PIM/inputMiddlename""))",Chrome 131.0.0.0,,,09-12-2024 17:47:39,09-12-2024 17:47:40,"0,704s",PASSED
"setText(findTestObject(""PIM/inputMiddlename""), ""Mustafa"")",Chrome 131.0.0.0,,,09-12-2024 17:47:40,09-12-2024 17:47:41,"0,931s",PASSED
"click(findTestObject(""PIM/inputLastname""))",Chrome 131.0.0.0,,,09-12-2024 17:47:41,09-12-2024 17:47:42,"0,857s",PASSED
"setText(findTestObject(""PIM/inputLastname""), ""Abdullah Kafi"")",Chrome 131.0.0.0,,,09-12-2024 17:47:42,09-12-2024 17:47:43,"0,951s",PASSED
"click(findTestObject(""PIM/inputEmployeeid""))",Chrome 131.0.0.0,,,09-12-2024 17:47:43,09-12-2024 17:47:43,"0,686s",PASSED
"sendKeys(findTestObject(""PIM/inputEmployeeid""), Keys.chord(CONTROL, ""a"", DELETE))",Chrome 131.0.0.0,,,09-12-2024 17:47:43,09-12-2024 17:47:44,"0,586s",PASSED
"setText(findTestObject(""PIM/inputEmployeeid""), ""65456453"")",Chrome 131.0.0.0,,,09-12-2024 17:47:44,09-12-2024 17:47:45,"0,925s",PASSED
"click(findTestObject(""PIM/buttonSave""))",Chrome 131.0.0.0,,,09-12-2024 17:47:45,09-12-2024 17:47:46,"1,314s",PASSED
delay(2),Chrome 131.0.0.0,,,09-12-2024 17:47:46,09-12-2024 17:47:48,"2,038s",PASSED
closeBrowser(),Chrome 131.0.0.0,,,09-12-2024 17:47:48,09-12-2024 17:47:49,"0,474s",PASSED
,,,,,,,
Test Cases/TC - TK 004/TC 003 First Name karyawan kosong,Chrome 131.0.0.0,,,09-12-2024 17:47:49,09-12-2024 17:48:54,"1m - 5,671s",PASSED
"callTestCase(findTestCase(""TC - TK 004/TC 001 Membuka fitur PIM""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,09-12-2024 17:47:49,09-12-2024 17:48:34,"44,868s",PASSED
"click(findTestObject(""Object Repository/PIM/addButton""))",Chrome 131.0.0.0,,,09-12-2024 17:48:34,09-12-2024 17:48:35,"1,271s",PASSED
"click(findTestObject(""Object Repository/PIM/inputFirstname""))",Chrome 131.0.0.0,,,09-12-2024 17:48:35,09-12-2024 17:48:37,"1,827s",PASSED
"setText(findTestObject(""Object Repository/PIM/inputFirstname""), """")",Chrome 131.0.0.0,,,09-12-2024 17:48:37,09-12-2024 17:48:38,"0,847s",PASSED
"click(findTestObject(""Object Repository/PIM/inputMiddlename""))",Chrome 131.0.0.0,,,09-12-2024 17:48:38,09-12-2024 17:48:38,"0,598s",PASSED
"setText(findTestObject(""Object Repository/PIM/inputMiddlename""), ""Mustafa"")",Chrome 131.0.0.0,,,09-12-2024 17:48:38,09-12-2024 17:48:40,"1,137s",PASSED
"click(findTestObject(""Object Repository/PIM/inputLastname""))",Chrome 131.0.0.0,,,09-12-2024 17:48:40,09-12-2024 17:48:40,"0,616s",PASSED
"setText(findTestObject(""Object Repository/PIM/inputLastname""), ""Abdullah Kafi"")",Chrome 131.0.0.0,,,09-12-2024 17:48:40,09-12-2024 17:48:42,"1,353s",PASSED
"click(findTestObject(""Object Repository/PIM/buttonSave""))",Chrome 131.0.0.0,,,09-12-2024 17:48:42,09-12-2024 17:48:43,"1,027s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/PIM/alertFirstnamerequired""), 0)",Chrome 131.0.0.0,,,09-12-2024 17:48:43,09-12-2024 17:48:45,"2,234s",PASSED
delay(2),Chrome 131.0.0.0,,,09-12-2024 17:48:45,09-12-2024 17:48:47,"2,068s",PASSED
closeBrowser(),Chrome 131.0.0.0,,,09-12-2024 17:48:47,09-12-2024 17:48:54,"7,464s",PASSED
,,,,,,,
Test Cases/TC - TK 004/TC 005 Middle Name karyawan kosong,Chrome 131.0.0.0,,,09-12-2024 17:48:54,09-12-2024 17:50:10,"1m - 15,363s",PASSED
"callTestCase(findTestCase(""TC - TK 004/TC 001 Membuka fitur PIM""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,09-12-2024 17:48:55,09-12-2024 17:49:46,"50,846s",PASSED
"click(findTestObject(""Object Repository/PIM/addButton""))",Chrome 131.0.0.0,,,09-12-2024 17:49:46,09-12-2024 17:49:48,"1,918s",PASSED
"click(findTestObject(""Object Repository/PIM/inputFirstname""))",Chrome 131.0.0.0,,,09-12-2024 17:49:48,09-12-2024 17:49:51,"3,751s",PASSED
"setText(findTestObject(""Object Repository/PIM/inputFirstname""), ""Rafki"")",Chrome 131.0.0.0,,,09-12-2024 17:49:51,09-12-2024 17:49:53,"1,279s",PASSED
"click(findTestObject(""Object Repository/PIM/inputMiddlename""))",Chrome 131.0.0.0,,,09-12-2024 17:49:53,09-12-2024 17:49:53,"0,727s",PASSED
