Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Edit Karyawan,Chrome 131.0.0.0,,,09-12-2024 20:43:58,09-12-2024 21:00:45,"16m - 46,940s",FAILED
,,,,,,,
Test Cases/TC - TK 004/TC 002 Buat data karyawan,Chrome 131.0.0.0,,,09-12-2024 20:44:01,09-12-2024 20:46:46,"2m - 45,319s",PASSED
"callTestCase(findTestCase(""TC - LW 002/TC 001 Login berhasil""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,09-12-2024 20:44:08,09-12-2024 20:45:54,"1m - 45,349s",PASSED
"click(findTestObject(""PIM/buttonMenupim""))",Chrome 131.0.0.0,,,09-12-2024 20:45:54,09-12-2024 20:46:01,"7,097s",PASSED
"verifyElementPresent(findTestObject(""Dashboard/textDashboard""), 0)",Chrome 131.0.0.0,,,09-12-2024 20:46:01,09-12-2024 20:46:04,"3,181s",PASSED
"click(findTestObject(""PIM/addButton""))",Chrome 131.0.0.0,,,09-12-2024 20:46:04,09-12-2024 20:46:12,"8,156s",PASSED
"click(findTestObject(""PIM/inputFirstname""))",Chrome 131.0.0.0,,,09-12-2024 20:46:12,09-12-2024 20:46:18,"6,036s",PASSED
"setText(findTestObject(""PIM/inputFirstname""), ""Rafki"")",Chrome 131.0.0.0,,,09-12-2024 20:46:18,09-12-2024 20:46:25,"6,369s",PASSED
"click(findTestObject(""PIM/inputMiddlename""))",Chrome 131.0.0.0,,,09-12-2024 20:46:25,09-12-2024 20:46:26,"1,029s",PASSED
"setText(findTestObject(""PIM/inputMiddlename""), ""Mustafa"")",Chrome 131.0.0.0,,,09-12-2024 20:46:26,09-12-2024 20:46:30,"3,925s",PASSED
"click(findTestObject(""PIM/inputLastname""))",Chrome 131.0.0.0,,,09-12-2024 20:46:30,09-12-2024 20:46:31,"1,756s",PASSED
"setText(findTestObject(""PIM/inputLastname""), ""Abdullah Kafi"")",Chrome 131.0.0.0,,,09-12-2024 20:46:31,09-12-2024 20:46:34,"2,333s",PASSED
"click(findTestObject(""PIM/inputEmployeeid""))",Chrome 131.0.0.0,,,09-12-2024 20:46:34,09-12-2024 20:46:38,"3,849s",PASSED
"sendKeys(findTestObject(""PIM/inputEmployeeid""), Keys.chord(CONTROL, ""a"", DELETE))",Chrome 131.0.0.0,,,09-12-2024 20:46:38,09-12-2024 20:46:38,"0,812s",PASSED
"setText(findTestObject(""PIM/inputEmployeeid""), ""65456453"")",Chrome 131.0.0.0,,,09-12-2024 20:46:38,09-12-2024 20:46:41,"2,262s",PASSED
"click(findTestObject(""PIM/buttonSave""))",Chrome 131.0.0.0,,,09-12-2024 20:46:41,09-12-2024 20:46:41,"0,859s",PASSED
delay(2),Chrome 131.0.0.0,,,09-12-2024 20:46:41,09-12-2024 20:46:44,"2,069s",PASSED
closeBrowser(),Chrome 131.0.0.0,,,09-12-2024 20:46:44,09-12-2024 20:46:46,"2,382s",PASSED
,,,,,,,
Test Cases/TC - EK 006/TC 001 Mengubah First Name karyawan,Chrome 131.0.0.0,,,09-12-2024 20:46:46,09-12-2024 20:49:02,"2m - 15,641s",FAILED
"callTestCase(findTestCase(""TC - TK 004/TC 001 Membuka fitur PIM""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,09-12-2024 20:46:48,09-12-2024 20:48:06,"1m - 17,934s",PASSED
"click(findTestObject(""Search Employee/inputUsername""))",Chrome 131.0.0.0,,,09-12-2024 20:48:06,09-12-2024 20:48:09,"2,900s",PASSED
"click(findTestObject(""Search Employee/inputEmployeeid""))",Chrome 131.0.0.0,,,09-12-2024 20:48:09,09-12-2024 20:48:12,"2,753s",PASSED
"setText(findTestObject(""Search Employee/inputEmployeeid""), ""060997"")",Chrome 131.0.0.0,,,09-12-2024 20:48:12,09-12-2024 20:48:16,"3,956s",PASSED
"click(findTestObject(""Search Employee/buttonSearch""))",Chrome 131.0.0.0,,,09-12-2024 20:48:16,09-12-2024 20:48:17,"1,308s",PASSED
"focus(findTestObject(""Search Employee/tableEmployee""))",Chrome 131.0.0.0,,,09-12-2024 20:48:17,09-12-2024 20:48:21,"4,120s",PASSED
"getText(findTestObject(""Search Employee/inputEmployeeid""))",Chrome 131.0.0.0,,,09-12-2024 20:48:21,09-12-2024 20:48:23,"1,777s",PASSED
"verifyMatch(""060997"", ""060997"", false)",Chrome 131.0.0.0,,,09-12-2024 20:48:23,09-12-2024 20:48:23,"0,247s",PASSED
delay(2),Chrome 131.0.0.0,,,09-12-2024 20:48:23,09-12-2024 20:48:26,"2,069s",PASSED
"click(findTestObject(""Edit Employee/buttonEditemployee""))",Chrome 131.0.0.0,,,09-12-2024 20:48:26,09-12-2024 20:49:02,"35,976s",FAILED
,,,,,,,
Test Cases/TC - EK 006/TC 002 Mengubah Middle Name karyawan,Chrome 131.0.0.0,,,09-12-2024 20:49:02,09-12-2024 20:51:15,"2m - 13,382s",FAILED
"callTestCase(findTestCase(""TC - TK 004/TC 001 Membuka fitur PIM""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,09-12-2024 20:49:03,09-12-2024 20:50:24,"1m - 20,172s",PASSED
"click(findTestObject(""Search Employee/inputUsername""))",Chrome 131.0.0.0,,,09-12-2024 20:50:24,09-12-2024 20:50:26,"2,368s",PASSED
"click(findTestObject(""Search Employee/inputEmployeeid""))",Chrome 131.0.0.0,,,09-12-2024 20:50:26,09-12-2024 20:50:27,"1,158s",PASSED
"setText(findTestObject(""Search Employee/inputEmployeeid""), ""060997"")",Chrome 131.0.0.0,,,09-12-2024 20:50:27,09-12-2024 20:50:32,"4,772s",PASSED
"click(findTestObject(""Search Employee/buttonSearch""))",Chrome 131.0.0.0,,,09-12-2024 20:50:32,09-12-2024 20:50:34,"2,257s",PASSED
"focus(findTestObject(""Search Employee/tableEmployee""))",Chrome 131.0.0.0,,,09-12-2024 20:50:34,09-12-2024 20:50:37,"2,853s",PASSED
"getText(findTestObject(""Search Employee/inputEmployeeid""))",Chrome 131.0.0.0,,,09-12-2024 20:50:37,09-12-2024 20:50:38,"1,249s",PASSED
"verifyMatch(""060997"", ""060997"", false)",Chrome 131.0.0.0,,,09-12-2024 20:50:38,09-12-2024 20:50:38,"0,014s",PASSED
delay(2),Chrome 131.0.0.0,,,09-12-2024 20:50:38,09-12-2024 20:50:40,"2,054s",PASSED
"click(findTestObject(""Edit Employee/buttonEditemployee""))",Chrome 131.0.0.0,,,09-12-2024 20:50:40,09-12-2024 20:51:15,"34,645s",FAILED
,,,,,,,
Test Cases/TC - EK 006/TC 003 Mengubah Last Name karyawan,Chrome 131.0.0.0,,,09-12-2024 20:51:15,09-12-2024 20:53:22,"2m - 6,689s",FAILED
"callTestCase(findTestCase(""TC - TK 004/TC 001 Membuka fitur PIM""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,09-12-2024 20:51:16,09-12-2024 20:52:36,"1m - 19,694s",PASSED
"click(findTestObject(""Search Employee/inputUsername""))",Chrome 131.0.0.0,,,09-12-2024 20:52:36,09-12-2024 20:52:38,"2,339s",PASSED
"click(findTestObject(""Search Employee/inputEmployeeid""))",Chrome 131.0.0.0,,,09-12-2024 20:52:38,09-12-2024 20:52:39,"1,153s",PASSED
"setText(findTestObject(""Search Employee/inputEmployeeid""), ""060997"")",Chrome 131.0.0.0,,,09-12-2024 20:52:39,09-12-2024 20:52:41,"1,656s",PASSED
"click(findTestObject(""Search Employee/buttonSearch""))",Chrome 131.0.0.0,,,09-12-2024 20:52:41,09-12-2024 20:52:42,"1,338s",PASSED
"focus(findTestObject(""Search Employee/tableEmployee""))",Chrome 131.0.0.0,,,09-12-2024 20:52:42,09-12-2024 20:52:45,"2,082s",PASSED
"getText(findTestObject(""Search Employee/inputEmployeeid""))",Chrome 131.0.0.0,,,09-12-2024 20:52:45,09-12-2024 20:52:45,"0,667s",PASSED
"verifyMatch(""060997"", ""060997"", false)",Chrome 131.0.0.0,,,09-12-2024 20:52:45,09-12-2024 20:52:45,"0,016s",PASSED
delay(2),Chrome 131.0.0.0,,,09-12-2024 20:52:45,09-12-2024 20:52:47,"2,014s",PASSED
"click(findTestObject(""Edit Employee/buttonEditemployee""))",Chrome 131.0.0.0,,,09-12-2024 20:52:47,09-12-2024 20:53:22,"34,591s",FAILED
,,,,,,,
Test Cases/TC - EK 006/TC 004 Mengubah Employee id karyawan,Chrome 131.0.0.0,,,09-12-2024 20:53:22,09-12-2024 20:55:34,"2m - 12,470s",FAILED
"callTestCase(findTestCase(""TC - TK 004/TC 001 Membuka fitur PIM""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,09-12-2024 20:53:23,09-12-2024 20:54:41,"1m - 18,478s",PASSED
"click(findTestObject(""Search Employee/inputUsername""))",Chrome 131.0.0.0,,,09-12-2024 20:54:41,09-12-2024 20:54:43,"2,157s",PASSED
"click(findTestObject(""Search Employee/inputEmployeeid""))",Chrome 131.0.0.0,,,09-12-2024 20:54:43,09-12-2024 20:54:45,"1,297s",PASSED
"setText(findTestObject(""Search Employee/inputEmployeeid""), ""060997"")",Chrome 131.0.0.0,,,09-12-2024 20:54:45,09-12-2024 20:54:47,"1,940s",PASSED
"click(findTestObject(""Search Employee/buttonSearch""))",Chrome 131.0.0.0,,,09-12-2024 20:54:47,09-12-2024 20:54:48,"1,321s",PASSED
"focus(findTestObject(""Search Employee/tableEmployee""))",Chrome 131.0.0.0,,,09-12-2024 20:54:48,09-12-2024 20:54:55,"6,767s",PASSED
"getText(findTestObject(""Search Employee/inputEmployeeid""))",Chrome 131.0.0.0,,,09-12-2024 20:54:55,09-12-2024 20:54:56,"1,056s",PASSED
"verifyMatch(""060997"", ""060997"", false)",Chrome 131.0.0.0,,,09-12-2024 20:54:56,09-12-2024 20:54:56,"0,047s",PASSED
delay(2),Chrome 131.0.0.0,,,09-12-2024 20:54:56,09-12-2024 20:54:58,"2,369s",PASSED
"click(findTestObject(""Edit Employee/buttonEditemployee""))",Chrome 131.0.0.0,,,09-12-2024 20:54:58,09-12-2024 20:55:34,"36,268s",FAILED
,,,,,,,
Test Cases/TC - EK 006/TC 005 Mengubah Foto Profil karyawan PNG,Chrome 131.0.0.0,,,09-12-2024 20:55:35,09-12-2024 20:58:13,"2m - 38,580s",FAILED
"callTestCase(findTestCase(""TC - TK 004/TC 001 Membuka fitur PIM""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,09-12-2024 20:55:39,09-12-2024 20:57:27,"1m - 47,796s",PASSED
"click(findTestObject(""Search Employee/inputUsername""))",Chrome 131.0.0.0,,,09-12-2024 20:57:27,09-12-2024 20:57:29,"2,446s",PASSED
"click(findTestObject(""Search Employee/inputEmployeeid""))",Chrome 131.0.0.0,,,09-12-2024 20:57:29,09-12-2024 20:57:30,"1,180s",PASSED
"setText(findTestObject(""Search Employee/inputEmployeeid""), ""970906"")",Chrome 131.0.0.0,,,09-12-2024 20:57:30,09-12-2024 20:57:32,"1,543s",PASSED
"click(findTestObject(""Search Employee/buttonSearch""))",Chrome 131.0.0.0,,,09-12-2024 20:57:32,09-12-2024 20:57:33,"1,381s",PASSED
"focus(findTestObject(""Search Employee/tableEmployee""))",Chrome 131.0.0.0,,,09-12-2024 20:57:33,09-12-2024 20:57:35,"2,118s",PASSED
"getText(findTestObject(""Search Employee/inputEmployeeid""))",Chrome 131.0.0.0,,,09-12-2024 20:57:35,09-12-2024 20:57:36,"0,667s",PASSED
"verifyMatch(""970906"", ""970906"", false)",Chrome 131.0.0.0,,,09-12-2024 20:57:36,09-12-2024 20:57:36,"0,006s",PASSED
