Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Hapus Karywan,Chrome 131.0.0.0,,,08-12-2024 18:16:20,08-12-2024 18:19:39,3m - 18.661s,PASSED
,,,,,,,
Test Cases/TC - HK 007/TC 001 Muncul konfirmasi sebelum hapus karyawan,Chrome 131.0.0.0,,,08-12-2024 18:16:21,08-12-2024 18:17:10,49.301s,PASSED
"callTestCase(findTestCase(""TC - TK 004/TC 001 Membuka fitur PIM""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,08-12-2024 18:16:22,08-12-2024 18:17:01,39.359s,PASSED
"click(findTestObject(""Search Employee/inputUsername""))",Chrome 131.0.0.0,,,08-12-2024 18:17:01,08-12-2024 18:17:02,0.540s,PASSED
"click(findTestObject(""Search Employee/inputEmployeeid""))",Chrome 131.0.0.0,,,08-12-2024 18:17:02,08-12-2024 18:17:03,0.633s,PASSED
"setText(findTestObject(""Search Employee/inputEmployeeid""), ""970906"")",Chrome 131.0.0.0,,,08-12-2024 18:17:03,08-12-2024 18:17:03,0.955s,PASSED
"click(findTestObject(""Search Employee/buttonSearch""))",Chrome 131.0.0.0,,,08-12-2024 18:17:03,08-12-2024 18:17:04,0.466s,PASSED
"focus(findTestObject(""Search Employee/tableEmployee""))",Chrome 131.0.0.0,,,08-12-2024 18:17:04,08-12-2024 18:17:06,1.773s,PASSED
"getText(findTestObject(""Search Employee/inputEmployeeid""))",Chrome 131.0.0.0,,,08-12-2024 18:17:06,08-12-2024 18:17:06,0.388s,PASSED
"verifyMatch(""970906"", ""970906"", false)",Chrome 131.0.0.0,,,08-12-2024 18:17:06,08-12-2024 18:17:06,0.052s,PASSED
"click(findTestObject(""Delete Employee/buttonDelete""))",Chrome 131.0.0.0,,,08-12-2024 18:17:06,08-12-2024 18:17:07,0.475s,PASSED
"verifyElementPresent(findTestObject(""Delete Employee/alertConfirmdelete""), 0)",Chrome 131.0.0.0,,,08-12-2024 18:17:07,08-12-2024 18:17:07,0.522s,PASSED
delay(2),Chrome 131.0.0.0,,,08-12-2024 18:17:07,08-12-2024 18:17:09,2.088s,PASSED
closeBrowser(),Chrome 131.0.0.0,,,08-12-2024 18:17:09,08-12-2024 18:17:10,0.983s,PASSED
,,,,,,,
Test Cases/TC - HK 007/TC 002 Tekan icon X untuk menutup konfirmasi hapus data,Chrome 131.0.0.0,,,08-12-2024 18:17:10,08-12-2024 18:17:47,36.640s,PASSED
"callTestCase(findTestCase(""TC - TK 004/TC 001 Membuka fitur PIM""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,08-12-2024 18:17:11,08-12-2024 18:17:35,23.685s,PASSED
"click(findTestObject(""Search Employee/inputUsername""))",Chrome 131.0.0.0,,,08-12-2024 18:17:35,08-12-2024 18:17:36,1.437s,PASSED
"click(findTestObject(""Search Employee/inputEmployeeid""))",Chrome 131.0.0.0,,,08-12-2024 18:17:36,08-12-2024 18:17:37,0.679s,PASSED
"setText(findTestObject(""Search Employee/inputEmployeeid""), ""970906"")",Chrome 131.0.0.0,,,08-12-2024 18:17:37,08-12-2024 18:17:38,1.171s,PASSED
