Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Hapus Karywan,Chrome 131.0.0.0,,,08-12-2024 18:02:14,08-12-2024 18:06:00,3m - 45.418s,FAILED
,,,,,,,
Test Cases/TC - HK 007/TC 001 Muncul konfirmasi sebelum hapus karyawan,Chrome 131.0.0.0,,,08-12-2024 18:02:15,08-12-2024 18:03:06,50.534s,PASSED
"callTestCase(findTestCase(""TC - TK 004/TC 001 Membuka fitur PIM""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,08-12-2024 18:02:17,08-12-2024 18:02:57,40.828s,PASSED
"click(findTestObject(""Search Employee/inputUsername""))",Chrome 131.0.0.0,,,08-12-2024 18:02:57,08-12-2024 18:02:58,0.494s,PASSED
"click(findTestObject(""Search Employee/inputEmployeeid""))",Chrome 131.0.0.0,,,08-12-2024 18:02:58,08-12-2024 18:02:58,0.484s,PASSED
"setText(findTestObject(""Search Employee/inputEmployeeid""), ""970906"")",Chrome 131.0.0.0,,,08-12-2024 18:02:58,08-12-2024 18:02:59,0.883s,PASSED
"click(findTestObject(""Search Employee/buttonSearch""))",Chrome 131.0.0.0,,,08-12-2024 18:02:59,08-12-2024 18:03:00,0.483s,PASSED
"focus(findTestObject(""Search Employee/tableEmployee""))",Chrome 131.0.0.0,,,08-12-2024 18:03:00,08-12-2024 18:03:01,1.723s,PASSED
"getText(findTestObject(""Search Employee/inputEmployeeid""))",Chrome 131.0.0.0,,,08-12-2024 18:03:01,08-12-2024 18:03:02,0.403s,PASSED
"verifyMatch(""970906"", ""970906"", false)",Chrome 131.0.0.0,,,08-12-2024 18:03:02,08-12-2024 18:03:02,0.047s,PASSED
"click(findTestObject(""Delete Employee/buttonDelete""))",Chrome 131.0.0.0,,,08-12-2024 18:03:02,08-12-2024 18:03:02,0.500s,PASSED
"verifyElementPresent(findTestObject(""Delete Employee/alertConfirmdelete""), 0)",Chrome 131.0.0.0,,,08-12-2024 18:03:02,08-12-2024 18:03:03,0.466s,PASSED
delay(2),Chrome 131.0.0.0,,,08-12-2024 18:03:03,08-12-2024 18:03:05,2.069s,PASSED
closeBrowser(),Chrome 131.0.0.0,,,08-12-2024 18:03:05,08-12-2024 18:03:06,0.898s,PASSED
,,,,,,,
Test Cases/TC - HK 007/TC 002 Tekan icon X untuk menutup konfirmasi hapus data,Chrome 131.0.0.0,,,08-12-2024 18:03:06,08-12-2024 18:03:46,39.682s,PASSED
"callTestCase(findTestCase(""TC - TK 004/TC 001 Membuka fitur PIM""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,08-12-2024 18:03:06,08-12-2024 18:03:32,25.449s,PASSED
"click(findTestObject(""Search Employee/inputUsername""))",Chrome 131.0.0.0,,,08-12-2024 18:03:32,08-12-2024 18:03:33,0.715s,PASSED
"click(findTestObject(""Search Employee/inputEmployeeid""))",Chrome 131.0.0.0,,,08-12-2024 18:03:33,08-12-2024 18:03:34,1.106s,PASSED
"setText(findTestObject(""Search Employee/inputEmployeeid""), ""970906"")",Chrome 131.0.0.0,,,08-12-2024 18:03:34,08-12-2024 18:03:36,2.651s,PASSED
"click(findTestObject(""Search Employee/buttonSearch""))",Chrome 131.0.0.0,,,08-12-2024 18:03:36,08-12-2024 18:03:37,0.822s,PASSED
"focus(findTestObject(""Search Employee/tableEmployee""))",Chrome 131.0.0.0,,,08-12-2024 18:03:37,08-12-2024 18:03:39,1.622s,PASSED
"getText(findTestObject(""Search Employee/inputEmployeeid""))",Chrome 131.0.0.0,,,08-12-2024 18:03:39,08-12-2024 18:03:39,0.360s,PASSED
"verifyMatch(""970906"", ""970906"", false)",Chrome 131.0.0.0,,,08-12-2024 18:03:39,08-12-2024 18:03:39,0.011s,PASSED
"click(findTestObject(""Delete Employee/buttonDelete""))",Chrome 131.0.0.0,,,08-12-2024 18:03:39,08-12-2024 18:03:40,0.554s,PASSED
"verifyElementPresent(findTestObject(""Delete Employee/alertConfirmdelete""), 0)",Chrome 131.0.0.0,,,08-12-2024 18:03:40,08-12-2024 18:03:40,0.466s,PASSED
delay(2),Chrome 131.0.0.0,,,08-12-2024 18:03:40,08-12-2024 18:03:42,2.030s,PASSED
"click(findTestObject(""Delete Employee/iconX""))",Chrome 131.0.0.0,,,08-12-2024 18:03:42,08-12-2024 18:03:43,0.401s,PASSED
delay(2),Chrome 131.0.0.0,,,08-12-2024 18:03:43,08-12-2024 18:03:45,2.027s,PASSED
closeBrowser(),Chrome 131.0.0.0,,,08-12-2024 18:03:45,08-12-2024 18:03:46,1.040s,PASSED
,,,,,,,
