Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Tambah Data Karyawan,Chrome 131.0.0.0,,,08-12-2024 15:07:51,08-12-2024 15:16:35,8m - 44.634s,PASSED
,,,,,,,
Test Cases/TC - TK 004/TC 001 Membuka fitur PIM,Chrome 131.0.0.0,,,08-12-2024 15:07:52,08-12-2024 15:08:48,55.993s,PASSED
"callTestCase(findTestCase(""TC - LW 002/TC 001 Login berhasil""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,08-12-2024 15:07:53,08-12-2024 15:08:41,48.598s,PASSED
"click(findTestObject(""PIM/buttonMenupim""))",Chrome 131.0.0.0,,,08-12-2024 15:08:41,08-12-2024 15:08:46,4.444s,PASSED
"verifyElementPresent(findTestObject(""Dashboard/textDashboard""), 0)",Chrome 131.0.0.0,,,08-12-2024 15:08:46,08-12-2024 15:08:48,1.708s,PASSED
,,,,,,,
Test Cases/TC - TK 004/TC 002 Buat data karyawan,Chrome 131.0.0.0,,,08-12-2024 15:08:48,08-12-2024 15:09:43,54.594s,PASSED
"callTestCase(findTestCase(""TC - LW 002/TC 001 Login berhasil""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,08-12-2024 15:08:50,08-12-2024 15:09:23,33.203s,PASSED
"click(findTestObject(""PIM/buttonMenupim""))",Chrome 131.0.0.0,,,08-12-2024 15:09:23,08-12-2024 15:09:25,2.417s,PASSED
"verifyElementPresent(findTestObject(""Dashboard/textDashboard""), 0)",Chrome 131.0.0.0,,,08-12-2024 15:09:25,08-12-2024 15:09:27,2.048s,PASSED
"click(findTestObject(""PIM/addButton""))",Chrome 131.0.0.0,,,08-12-2024 15:09:27,08-12-2024 15:09:29,1.662s,PASSED
"click(findTestObject(""PIM/inputFirstname""))",Chrome 131.0.0.0,,,08-12-2024 15:09:29,08-12-2024 15:09:31,1.692s,PASSED
"setText(findTestObject(""PIM/inputFirstname""), ""Rafki"")",Chrome 131.0.0.0,,,08-12-2024 15:09:31,08-12-2024 15:09:32,0.951s,PASSED
"click(findTestObject(""PIM/inputMiddlename""))",Chrome 131.0.0.0,,,08-12-2024 15:09:32,08-12-2024 15:09:32,0.508s,PASSED
"setText(findTestObject(""PIM/inputMiddlename""), ""Mustafa"")",Chrome 131.0.0.0,,,08-12-2024 15:09:32,08-12-2024 15:09:33,1.164s,PASSED
"click(findTestObject(""PIM/inputLastname""))",Chrome 131.0.0.0,,,08-12-2024 15:09:33,08-12-2024 15:09:34,0.577s,PASSED
"setText(findTestObject(""PIM/inputLastname""), ""Abdullah Kafi"")",Chrome 131.0.0.0,,,08-12-2024 15:09:34,08-12-2024 15:09:35,0.952s,PASSED
"click(findTestObject(""PIM/inputEmployeeid""))",Chrome 131.0.0.0,,,08-12-2024 15:09:35,08-12-2024 15:09:35,0.449s,PASSED
"sendKeys(findTestObject(""PIM/inputEmployeeid""), Keys.chord(CONTROL, ""a"", DELETE))",Chrome 131.0.0.0,,,08-12-2024 15:09:35,08-12-2024 15:09:36,0.404s,PASSED
"setText(findTestObject(""PIM/inputEmployeeid""), ""65456453"")",Chrome 131.0.0.0,,,08-12-2024 15:09:36,08-12-2024 15:09:37,0.880s,PASSED
"click(findTestObject(""PIM/buttonSave""))",Chrome 131.0.0.0,,,08-12-2024 15:09:37,08-12-2024 15:09:37,0.427s,PASSED
"verifyElementPresent(findTestObject(""PIM/notificationSuccess""), 0)",Chrome 131.0.0.0,,,08-12-2024 15:09:37,08-12-2024 15:09:39,2.285s,PASSED
delay(2),Chrome 131.0.0.0,,,08-12-2024 15:09:39,08-12-2024 15:09:41,2.053s,PASSED
closeBrowser(),Chrome 131.0.0.0,,,08-12-2024 15:09:41,08-12-2024 15:09:43,1.306s,PASSED
,,,,,,,
Test Cases/TC - TK 004/TC 003 First Name karyawan kosong,Chrome 131.0.0.0,,,08-12-2024 15:09:43,08-12-2024 15:10:28,45.241s,PASSED
"callTestCase(findTestCase(""TC - TK 004/TC 001 Membuka fitur PIM""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,08-12-2024 15:09:43,08-12-2024 15:10:15,32.123s,PASSED
"click(findTestObject(""Object Repository/PIM/addButton""))",Chrome 131.0.0.0,,,08-12-2024 15:10:15,08-12-2024 15:10:17,1.604s,PASSED
"click(findTestObject(""Object Repository/PIM/inputFirstname""))",Chrome 131.0.0.0,,,08-12-2024 15:10:17,08-12-2024 15:10:19,1.699s,PASSED
"setText(findTestObject(""Object Repository/PIM/inputFirstname""), """")",Chrome 131.0.0.0,,,08-12-2024 15:10:19,08-12-2024 15:10:19,0.885s,PASSED
"click(findTestObject(""Object Repository/PIM/inputMiddlename""))",Chrome 131.0.0.0,,,08-12-2024 15:10:19,08-12-2024 15:10:20,0.514s,PASSED
"setText(findTestObject(""Object Repository/PIM/inputMiddlename""), ""Mustafa"")",Chrome 131.0.0.0,,,08-12-2024 15:10:20,08-12-2024 15:10:21,0.865s,PASSED
"click(findTestObject(""Object Repository/PIM/inputLastname""))",Chrome 131.0.0.0,,,08-12-2024 15:10:21,08-12-2024 15:10:21,0.509s,PASSED
"setText(findTestObject(""Object Repository/PIM/inputLastname""), ""Abdullah Kafi"")",Chrome 131.0.0.0,,,08-12-2024 15:10:21,08-12-2024 15:10:22,1.133s,PASSED
"click(findTestObject(""Object Repository/PIM/buttonSave""))",Chrome 131.0.0.0,,,08-12-2024 15:10:22,08-12-2024 15:10:23,0.555s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/PIM/alertFirstnamerequired""), 0)",Chrome 131.0.0.0,,,08-12-2024 15:10:23,08-12-2024 15:10:25,1.824s,PASSED
delay(2),Chrome 131.0.0.0,,,08-12-2024 15:10:25,08-12-2024 15:10:27,2.033s,PASSED
closeBrowser(),Chrome 131.0.0.0,,,08-12-2024 15:10:27,08-12-2024 15:10:28,0.996s,PASSED
,,,,,,,
Test Cases/TC - TK 004/TC 005 Middle Name karyawan kosong,Chrome 131.0.0.0,,,08-12-2024 15:10:28,08-12-2024 15:11:11,43.074s,PASSED
"callTestCase(findTestCase(""TC - TK 004/TC 001 Membuka fitur PIM""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,08-12-2024 15:10:28,08-12-2024 15:10:50,22.079s,PASSED
"click(findTestObject(""Object Repository/PIM/addButton""))",Chrome 131.0.0.0,,,08-12-2024 15:10:50,08-12-2024 15:10:53,2.280s,PASSED
"click(findTestObject(""Object Repository/PIM/inputFirstname""))",Chrome 131.0.0.0,,,08-12-2024 15:10:53,08-12-2024 15:10:58,4.894s,PASSED
"setText(findTestObject(""Object Repository/PIM/inputFirstname""), ""Rafki"")",Chrome 131.0.0.0,,,08-12-2024 15:10:58,08-12-2024 15:11:00,2.487s,PASSED
"click(findTestObject(""Object Repository/PIM/inputMiddlename""))",Chrome 131.0.0.0,,,08-12-2024 15:11:00,08-12-2024 15:11:01,0.628s,PASSED
"setText(findTestObject(""Object Repository/PIM/inputMiddlename""), """")",Chrome 131.0.0.0,,,08-12-2024 15:11:01,08-12-2024 15:11:02,1.065s,PASSED
