Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cari data karyawan,Chrome 131.0.0.0,,,09-12-2024 18:00:11,09-12-2024 18:33:37,"33m - 25,769s",PASSED
,,,,,,,
Test Cases/TC - TK 004/TC 002 Buat data karyawan,Chrome 131.0.0.0,,,09-12-2024 18:00:13,09-12-2024 18:02:09,"1m - 56,318s",PASSED
"callTestCase(findTestCase(""TC - LW 002/TC 001 Login berhasil""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,09-12-2024 18:00:18,09-12-2024 18:01:37,"1m - 19,486s",PASSED
"click(findTestObject(""PIM/buttonMenupim""))",Chrome 131.0.0.0,,,09-12-2024 18:01:37,09-12-2024 18:01:42,"4,284s",PASSED
"verifyElementPresent(findTestObject(""Dashboard/textDashboard""), 0)",Chrome 131.0.0.0,,,09-12-2024 18:01:42,09-12-2024 18:01:45,"3,267s",PASSED
"click(findTestObject(""PIM/addButton""))",Chrome 131.0.0.0,,,09-12-2024 18:01:45,09-12-2024 18:01:48,"3,335s",PASSED
"click(findTestObject(""PIM/inputFirstname""))",Chrome 131.0.0.0,,,09-12-2024 18:01:49,09-12-2024 18:01:51,"1,925s",PASSED
"setText(findTestObject(""PIM/inputFirstname""), ""Rafki"")",Chrome 131.0.0.0,,,09-12-2024 18:01:51,09-12-2024 18:01:53,"1,901s",PASSED
"click(findTestObject(""PIM/inputMiddlename""))",Chrome 131.0.0.0,,,09-12-2024 18:01:53,09-12-2024 18:01:54,"1,079s",PASSED
"setText(findTestObject(""PIM/inputMiddlename""), ""Mustafa"")",Chrome 131.0.0.0,,,09-12-2024 18:01:54,09-12-2024 18:01:55,"1,546s",PASSED
"click(findTestObject(""PIM/inputLastname""))",Chrome 131.0.0.0,,,09-12-2024 18:01:55,09-12-2024 18:01:56,"0,987s",PASSED
"setText(findTestObject(""PIM/inputLastname""), ""Abdullah Kafi"")",Chrome 131.0.0.0,,,09-12-2024 18:01:56,09-12-2024 18:01:58,"1,720s",PASSED
"click(findTestObject(""PIM/inputEmployeeid""))",Chrome 131.0.0.0,,,09-12-2024 18:01:58,09-12-2024 18:01:59,"1,393s",PASSED
"sendKeys(findTestObject(""PIM/inputEmployeeid""), Keys.chord(CONTROL, ""a"", DELETE))",Chrome 131.0.0.0,,,09-12-2024 18:01:59,09-12-2024 18:02:00,"0,871s",PASSED
"setText(findTestObject(""PIM/inputEmployeeid""), ""65456453"")",Chrome 131.0.0.0,,,09-12-2024 18:02:00,09-12-2024 18:02:02,"1,996s",PASSED
