Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Lupa Password,Chrome 131.0.0.0,,,09-12-2024 17:37:03,09-12-2024 17:38:47,"1m - 44,829s",PASSED
,,,,,,,
Test Cases/TC - LP 003/TC 001 Klik Forgot your password,Chrome 131.0.0.0,,,09-12-2024 17:37:05,09-12-2024 17:38:14,"1m - 8,204s",PASSED
"callTestCase(findTestCase(""TC - OW 001/TC 001 Link website benar""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,09-12-2024 17:37:08,09-12-2024 17:37:51,"42,888s",PASSED
"click(findTestObject(""Forgot Password/textForgotpassword""))",Chrome 131.0.0.0,,,09-12-2024 17:37:51,09-12-2024 17:37:55,"4,066s",PASSED
"waitForElementPresent(findTestObject(""Forgot Password/inputUsername""), 0)",Chrome 131.0.0.0,,,09-12-2024 17:37:55,09-12-2024 17:37:56,"1,077s",PASSED
"click(findTestObject(""Forgot Password/inputUsername""))",Chrome 131.0.0.0,,,09-12-2024 17:37:56,09-12-2024 17:37:57,"0,957s",PASSED
"setText(findTestObject(""Forgot Password/inputUsername""), ""admin"")",Chrome 131.0.0.0,,,09-12-2024 17:37:57,09-12-2024 17:38:02,"5,021s",PASSED
"click(findTestObject(""Forgot Password/buttonResetpassword""))",Chrome 131.0.0.0,,,09-12-2024 17:38:02,09-12-2024 17:38:05,"2,823s",PASSED
"verifyElementPresent(findTestObject(""Forgot Password/textResetpassword""), 0)",Chrome 131.0.0.0,,,09-12-2024 17:38:05,09-12-2024 17:38:09,"3,717s",PASSED
delay(2),Chrome 131.0.0.0,,,09-12-2024 17:38:09,09-12-2024 17:38:11,"2,485s",PASSED
closeBrowser(),Chrome 131.0.0.0,,,09-12-2024 17:38:11,09-12-2024 17:38:14,"2,428s",PASSED
,,,,,,,
Test Cases/TC - LP 003/TC 002 Tombol cancel pada lupa password,Chrome 131.0.0.0,,,09-12-2024 17:38:14,09-12-2024 17:38:47,"33,638s",PASSED
"callTestCase(findTestCase(""TC - OW 001/TC 001 Link website benar""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,09-12-2024 17:38:15,09-12-2024 17:38:31,"16,056s",PASSED
"click(findTestObject(""Forgot Password/textForgotpassword""))",Chrome 131.0.0.0,,,09-12-2024 17:38:31,09-12-2024 17:38:34,"2,804s",PASSED
"waitForElementPresent(findTestObject(""Forgot Password/inputUsername""), 0)",Chrome 131.0.0.0,,,09-12-2024 17:38:34,09-12-2024 17:38:35,"1,113s",PASSED
"click(findTestObject(""Forgot Password/inputUsername""))",Chrome 131.0.0.0,,,09-12-2024 17:38:35,09-12-2024 17:38:36,"1,231s",PASSED
"setText(findTestObject(""Forgot Password/inputUsername""), ""admin"")",Chrome 131.0.0.0,,,09-12-2024 17:38:36,09-12-2024 17:38:38,"1,096s",PASSED
"click(findTestObject(""Forgot Password/buttonCancel""))",Chrome 131.0.0.0,,,09-12-2024 17:38:38,09-12-2024 17:38:41,"3,506s",PASSED
"verifyElementPresent(findTestObject(""Forgot Password/textForgotpassword""), 0)",Chrome 131.0.0.0,,,09-12-2024 17:38:41,09-12-2024 17:38:44,"3,132s",PASSED
delay(2),Chrome 131.0.0.0,,,09-12-2024 17:38:44,09-12-2024 17:38:46,"2,097s",PASSED
closeBrowser(),Chrome 131.0.0.0,,,09-12-2024 17:38:46,09-12-2024 17:38:47,"1,124s",PASSED
