Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Hapus Karywan,Chrome 131.0.0.0,,,09-12-2024 19:39:31,09-12-2024 19:47:22,"7m - 50,771s",FAILED
,,,,,,,
Test Cases/TC - TK 004/TC 002 Buat data karyawan,Chrome 131.0.0.0,,,09-12-2024 19:39:32,09-12-2024 19:40:40,"1m - 8,002s",PASSED
"callTestCase(findTestCase(""TC - LW 002/TC 001 Login berhasil""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,09-12-2024 19:39:34,09-12-2024 19:40:21,"47,531s",PASSED
"click(findTestObject(""PIM/buttonMenupim""))",Chrome 131.0.0.0,,,09-12-2024 19:40:21,09-12-2024 19:40:23,"1,751s",PASSED
"verifyElementPresent(findTestObject(""Dashboard/textDashboard""), 0)",Chrome 131.0.0.0,,,09-12-2024 19:40:23,09-12-2024 19:40:26,"2,381s",PASSED
"click(findTestObject(""PIM/addButton""))",Chrome 131.0.0.0,,,09-12-2024 19:40:26,09-12-2024 19:40:27,"1,315s",PASSED
"click(findTestObject(""PIM/inputFirstname""))",Chrome 131.0.0.0,,,09-12-2024 19:40:27,09-12-2024 19:40:30,"3,447s",PASSED
"setText(findTestObject(""PIM/inputFirstname""), ""Rafki"")",Chrome 131.0.0.0,,,09-12-2024 19:40:30,09-12-2024 19:40:31,"0,878s",PASSED
"click(findTestObject(""PIM/inputMiddlename""))",Chrome 131.0.0.0,,,09-12-2024 19:40:31,09-12-2024 19:40:32,"0,562s",PASSED
"setText(findTestObject(""PIM/inputMiddlename""), ""Mustafa"")",Chrome 131.0.0.0,,,09-12-2024 19:40:32,09-12-2024 19:40:33,"1,101s",PASSED
"click(findTestObject(""PIM/inputLastname""))",Chrome 131.0.0.0,,,09-12-2024 19:40:33,09-12-2024 19:40:34,"0,621s",PASSED
"setText(findTestObject(""PIM/inputLastname""), ""Abdullah Kafi"")",Chrome 131.0.0.0,,,09-12-2024 19:40:34,09-12-2024 19:40:34,"0,933s",PASSED
"click(findTestObject(""PIM/inputEmployeeid""))",Chrome 131.0.0.0,,,09-12-2024 19:40:34,09-12-2024 19:40:35,"0,570s",PASSED
"sendKeys(findTestObject(""PIM/inputEmployeeid""), Keys.chord(CONTROL, ""a"", DELETE))",Chrome 131.0.0.0,,,09-12-2024 19:40:35,09-12-2024 19:40:36,"0,491s",PASSED
"setText(findTestObject(""PIM/inputEmployeeid""), ""65456453"")",Chrome 131.0.0.0,,,09-12-2024 19:40:36,09-12-2024 19:40:37,"1,014s",PASSED
"click(findTestObject(""PIM/buttonSave""))",Chrome 131.0.0.0,,,09-12-2024 19:40:37,09-12-2024 19:40:37,"0,886s",PASSED
delay(2),Chrome 131.0.0.0,,,09-12-2024 19:40:37,09-12-2024 19:40:40,"2,030s",PASSED
closeBrowser(),Chrome 131.0.0.0,,,09-12-2024 19:40:40,09-12-2024 19:40:40,"0,771s",PASSED
,,,,,,,
Test Cases/TC - HK 007/TC 001 Muncul konfirmasi sebelum hapus karyawan,Chrome 131.0.0.0,,,09-12-2024 19:40:40,09-12-2024 19:41:52,"1m - 11,724s",FAILED
"callTestCase(findTestCase(""TC - TK 004/TC 001 Membuka fitur PIM""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,09-12-2024 19:40:41,09-12-2024 19:41:13,"31,964s",PASSED
"click(findTestObject(""Search Employee/inputUsername""))",Chrome 131.0.0.0,,,09-12-2024 19:41:13,09-12-2024 19:41:14,"0,785s",PASSED
"click(findTestObject(""Search Employee/inputEmployeeid""))",Chrome 131.0.0.0,,,09-12-2024 19:41:14,09-12-2024 19:41:14,"0,640s",PASSED
"setText(findTestObject(""Search Employee/inputEmployeeid""), ""970906"")",Chrome 131.0.0.0,,,09-12-2024 19:41:14,09-12-2024 19:41:15,"0,882s",PASSED
"click(findTestObject(""Search Employee/buttonSearch""))",Chrome 131.0.0.0,,,09-12-2024 19:41:15,09-12-2024 19:41:16,"0,601s",PASSED
"focus(findTestObject(""Search Employee/tableEmployee""))",Chrome 131.0.0.0,,,09-12-2024 19:41:16,09-12-2024 19:41:18,"1,982s",PASSED
"getText(findTestObject(""Search Employee/inputEmployeeid""))",Chrome 131.0.0.0,,,09-12-2024 19:41:18,09-12-2024 19:41:18,"0,464s",PASSED
"verifyMatch(""970906"", ""970906"", false)",Chrome 131.0.0.0,,,09-12-2024 19:41:18,09-12-2024 19:41:18,"0,033s",PASSED
"click(findTestObject(""Delete Employee/buttonDelete""))",Chrome 131.0.0.0,,,09-12-2024 19:41:18,09-12-2024 19:41:52,"33,744s",FAILED
,,,,,,,
Test Cases/TC - HK 007/TC 002 Tekan icon X untuk menutup konfirmasi hapus data,Chrome 131.0.0.0,,,09-12-2024 19:41:52,09-12-2024 19:43:04,"1m - 12,184s",FAILED
"callTestCase(findTestCase(""TC - TK 004/TC 001 Membuka fitur PIM""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,09-12-2024 19:41:52,09-12-2024 19:42:26,"33,845s",PASSED
"click(findTestObject(""Search Employee/inputUsername""))",Chrome 131.0.0.0,,,09-12-2024 19:42:26,09-12-2024 19:42:27,"0,564s",PASSED
"click(findTestObject(""Search Employee/inputEmployeeid""))",Chrome 131.0.0.0,,,09-12-2024 19:42:27,09-12-2024 19:42:27,"0,536s",PASSED
"setText(findTestObject(""Search Employee/inputEmployeeid""), ""970906"")",Chrome 131.0.0.0,,,09-12-2024 19:42:27,09-12-2024 19:42:28,"0,948s",PASSED
"click(findTestObject(""Search Employee/buttonSearch""))",Chrome 131.0.0.0,,,09-12-2024 19:42:28,09-12-2024 19:42:29,"0,561s",PASSED
"focus(findTestObject(""Search Employee/tableEmployee""))",Chrome 131.0.0.0,,,09-12-2024 19:42:29,09-12-2024 19:42:30,"1,065s",PASSED
