Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Tambah Data Karyawan,Chrome 131.0.0.0,,,09-12-2024 19:09:08,09-12-2024 19:22:33,"13m - 25,239s",FAILED
,,,,,,,
Test Cases/TC - TK 004/TC 001 Membuka fitur PIM,Chrome 131.0.0.0,,,09-12-2024 19:09:10,09-12-2024 19:10:39,"1m - 28,886s",PASSED
"callTestCase(findTestCase(""TC - LW 002/TC 001 Login berhasil""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,09-12-2024 19:09:11,09-12-2024 19:10:35,"1m - 23,461s",PASSED
"click(findTestObject(""PIM/buttonMenupim""))",Chrome 131.0.0.0,,,09-12-2024 19:10:35,09-12-2024 19:10:36,"1,814s",PASSED
"verifyElementPresent(findTestObject(""Dashboard/textDashboard""), 0)",Chrome 131.0.0.0,,,09-12-2024 19:10:36,09-12-2024 19:10:39,"2,177s",PASSED
,,,,,,,
Test Cases/TC - TK 004/TC 002 Buat data karyawan,Chrome 131.0.0.0,,,09-12-2024 19:10:39,09-12-2024 19:11:45,"1m - 6,408s",PASSED
"callTestCase(findTestCase(""TC - LW 002/TC 001 Login berhasil""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,09-12-2024 19:10:40,09-12-2024 19:11:23,"42,675s",PASSED
"click(findTestObject(""PIM/buttonMenupim""))",Chrome 131.0.0.0,,,09-12-2024 19:11:23,09-12-2024 19:11:24,"1,833s",PASSED
"verifyElementPresent(findTestObject(""Dashboard/textDashboard""), 0)",Chrome 131.0.0.0,,,09-12-2024 19:11:24,09-12-2024 19:11:26,"2,004s",PASSED
"click(findTestObject(""PIM/addButton""))",Chrome 131.0.0.0,,,09-12-2024 19:11:26,09-12-2024 19:11:28,"2,024s",PASSED
"click(findTestObject(""PIM/inputFirstname""))",Chrome 131.0.0.0,,,09-12-2024 19:11:29,09-12-2024 19:11:32,"3,182s",PASSED
"setText(findTestObject(""PIM/inputFirstname""), ""Rafki"")",Chrome 131.0.0.0,,,09-12-2024 19:11:32,09-12-2024 19:11:35,"2,909s",PASSED
"click(findTestObject(""PIM/inputMiddlename""))",Chrome 131.0.0.0,,,09-12-2024 19:11:35,09-12-2024 19:11:36,"0,922s",PASSED
"setText(findTestObject(""PIM/inputMiddlename""), ""Mustafa"")",Chrome 131.0.0.0,,,09-12-2024 19:11:36,09-12-2024 19:11:37,"1,451s",PASSED
"click(findTestObject(""PIM/inputLastname""))",Chrome 131.0.0.0,,,09-12-2024 19:11:37,09-12-2024 19:11:38,"0,975s",PASSED
"setText(findTestObject(""PIM/inputLastname""), ""Abdullah Kafi"")",Chrome 131.0.0.0,,,09-12-2024 19:11:38,09-12-2024 19:11:40,"1,908s",PASSED
"click(findTestObject(""PIM/inputEmployeeid""))",Chrome 131.0.0.0,,,09-12-2024 19:11:40,09-12-2024 19:11:40,"0,613s",PASSED
"sendKeys(findTestObject(""PIM/inputEmployeeid""), Keys.chord(CONTROL, ""a"", DELETE))",Chrome 131.0.0.0,,,09-12-2024 19:11:40,09-12-2024 19:11:41,"0,422s",PASSED
"setText(findTestObject(""PIM/inputEmployeeid""), ""65456453"")",Chrome 131.0.0.0,,,09-12-2024 19:11:41,09-12-2024 19:11:42,"0,748s",PASSED
"click(findTestObject(""PIM/buttonSave""))",Chrome 131.0.0.0,,,09-12-2024 19:11:42,09-12-2024 19:11:43,"0,975s",PASSED
delay(2),Chrome 131.0.0.0,,,09-12-2024 19:11:43,09-12-2024 19:11:45,"2,038s",PASSED
closeBrowser(),Chrome 131.0.0.0,,,09-12-2024 19:11:45,09-12-2024 19:11:45,"0,544s",PASSED
,,,,,,,
Test Cases/TC - TK 004/TC 003 First Name karyawan kosong,Chrome 131.0.0.0,,,09-12-2024 19:11:45,09-12-2024 19:12:32,"46,514s",PASSED
