Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Buka URL Web,Chrome 131.0.0.0,,,09-12-2024 17:34:33,09-12-2024 17:36:02,"1m - 29,489s",PASSED
,,,,,,,
Test Cases/TC - OW 001/TC 001 Link website benar,Chrome 131.0.0.0,,,09-12-2024 17:34:34,09-12-2024 17:35:23,"48,822s",PASSED
"openBrowser(""https://opensource-demo.orangehrmlive.com/web/index.php/"")",Chrome 131.0.0.0,,,09-12-2024 17:34:36,09-12-2024 17:35:18,"41,785s",PASSED
maximizeWindow(),Chrome 131.0.0.0,,,09-12-2024 17:35:18,09-12-2024 17:35:20,"2,309s",PASSED
"verifyElementPresent(findTestObject(""Login/textLogin""), 0)",Chrome 131.0.0.0,,,09-12-2024 17:35:20,09-12-2024 17:35:23,"2,893s",PASSED
,,,,,,,
Test Cases/TC - OW 001/TC 002 Link website salah,Chrome 131.0.0.0,,,09-12-2024 17:35:23,09-12-2024 17:36:02,"39,177s",PASSED
"openBrowser(""www.google.com"")",Chrome 131.0.0.0,,,09-12-2024 17:35:25,09-12-2024 17:35:53,"28,549s",PASSED
maximizeWindow(),Chrome 131.0.0.0,,,09-12-2024 17:35:53,09-12-2024 17:35:54,"1,237s",PASSED
"verifyMatch(""https://opensource-demo.orangehrmlive.com/web/index.php"", ""https://opensource-demo.orangehrmlive.com/web/index.php"", false)",Chrome 131.0.0.0,,,09-12-2024 17:35:54,09-12-2024 17:35:56,"1,181s",PASSED
delay(2),Chrome 131.0.0.0,,,09-12-2024 17:35:56,09-12-2024 17:35:58,"2,146s",PASSED
closeBrowser(),Chrome 131.0.0.0,,,09-12-2024 17:35:58,09-12-2024 17:36:02,"4,593s",PASSED
