Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Tambah Data Karyawan,Chrome 131.0.0.0,,,08-12-2024 19:22:04,08-12-2024 19:29:37,7m - 32.611s,PASSED
,,,,,,,
Test Cases/TC - TK 004/TC 001 Membuka fitur PIM,Chrome 131.0.0.0,,,08-12-2024 19:22:05,08-12-2024 19:22:44,38.875s,PASSED
"callTestCase(findTestCase(""TC - LW 002/TC 001 Login berhasil""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,08-12-2024 19:22:06,08-12-2024 19:22:41,34.448s,PASSED
"click(findTestObject(""PIM/buttonMenupim""))",Chrome 131.0.0.0,,,08-12-2024 19:22:41,08-12-2024 19:22:42,1.800s,PASSED
"verifyElementPresent(findTestObject(""Dashboard/textDashboard""), 0)",Chrome 131.0.0.0,,,08-12-2024 19:22:42,08-12-2024 19:22:44,1.694s,PASSED
,,,,,,,
Test Cases/TC - TK 004/TC 002 Buat data karyawan,Chrome 131.0.0.0,,,08-12-2024 19:22:44,08-12-2024 19:23:25,40.582s,PASSED
"callTestCase(findTestCase(""TC - LW 002/TC 001 Login berhasil""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,08-12-2024 19:22:45,08-12-2024 19:23:04,18.879s,PASSED
"click(findTestObject(""PIM/buttonMenupim""))",Chrome 131.0.0.0,,,08-12-2024 19:23:04,08-12-2024 19:23:07,2.667s,PASSED
"verifyElementPresent(findTestObject(""Dashboard/textDashboard""), 0)",Chrome 131.0.0.0,,,08-12-2024 19:23:07,08-12-2024 19:23:09,2.566s,PASSED
"click(findTestObject(""PIM/addButton""))",Chrome 131.0.0.0,,,08-12-2024 19:23:09,08-12-2024 19:23:10,1.314s,PASSED
"click(findTestObject(""PIM/inputFirstname""))",Chrome 131.0.0.0,,,08-12-2024 19:23:11,08-12-2024 19:23:12,1.745s,PASSED
"setText(findTestObject(""PIM/inputFirstname""), ""Rafki"")",Chrome 131.0.0.0,,,08-12-2024 19:23:12,08-12-2024 19:23:13,0.949s,PASSED
"click(findTestObject(""PIM/inputMiddlename""))",Chrome 131.0.0.0,,,08-12-2024 19:23:13,08-12-2024 19:23:14,0.515s,PASSED
"setText(findTestObject(""PIM/inputMiddlename""), ""Mustafa"")",Chrome 131.0.0.0,,,08-12-2024 19:23:14,08-12-2024 19:23:15,0.824s,PASSED
"click(findTestObject(""PIM/inputLastname""))",Chrome 131.0.0.0,,,08-12-2024 19:23:15,08-12-2024 19:23:15,0.483s,PASSED
"setText(findTestObject(""PIM/inputLastname""), ""Abdullah Kafi"")",Chrome 131.0.0.0,,,08-12-2024 19:23:15,08-12-2024 19:23:16,0.971s,PASSED
"click(findTestObject(""PIM/inputEmployeeid""))",Chrome 131.0.0.0,,,08-12-2024 19:23:16,08-12-2024 19:23:16,0.472s,PASSED
"sendKeys(findTestObject(""PIM/inputEmployeeid""), Keys.chord(CONTROL, ""a"", DELETE))",Chrome 131.0.0.0,,,08-12-2024 19:23:16,08-12-2024 19:23:17,0.467s,PASSED
"setText(findTestObject(""PIM/inputEmployeeid""), ""65456453"")",Chrome 131.0.0.0,,,08-12-2024 19:23:17,08-12-2024 19:23:18,0.879s,PASSED
"click(findTestObject(""PIM/buttonSave""))",Chrome 131.0.0.0,,,08-12-2024 19:23:18,08-12-2024 19:23:18,0.461s,PASSED
"verifyElementPresent(findTestObject(""PIM/notificationSuccess""), 0)",Chrome 131.0.0.0,,,08-12-2024 19:23:18,08-12-2024 19:23:22,3.570s,PASSED
delay(2),Chrome 131.0.0.0,,,08-12-2024 19:23:22,08-12-2024 19:23:24,2.200s,PASSED
closeBrowser(),Chrome 131.0.0.0,,,08-12-2024 19:23:24,08-12-2024 19:23:25,0.640s,PASSED
,,,,,,,
Test Cases/TC - TK 004/TC 003 First Name karyawan kosong,Chrome 131.0.0.0,,,08-12-2024 19:23:25,08-12-2024 19:23:59,34.224s,PASSED
"callTestCase(findTestCase(""TC - TK 004/TC 001 Membuka fitur PIM""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,08-12-2024 19:23:25,08-12-2024 19:23:47,21.453s,PASSED
"click(findTestObject(""Object Repository/PIM/addButton""))",Chrome 131.0.0.0,,,08-12-2024 19:23:47,08-12-2024 19:23:48,1.302s,PASSED
"click(findTestObject(""Object Repository/PIM/inputFirstname""))",Chrome 131.0.0.0,,,08-12-2024 19:23:48,08-12-2024 19:23:50,2.238s,PASSED
"setText(findTestObject(""Object Repository/PIM/inputFirstname""), """")",Chrome 131.0.0.0,,,08-12-2024 19:23:50,08-12-2024 19:23:51,0.819s,PASSED
"click(findTestObject(""Object Repository/PIM/inputMiddlename""))",Chrome 131.0.0.0,,,08-12-2024 19:23:51,08-12-2024 19:23:52,0.453s,PASSED
"setText(findTestObject(""Object Repository/PIM/inputMiddlename""), ""Mustafa"")",Chrome 131.0.0.0,,,08-12-2024 19:23:52,08-12-2024 19:23:52,0.872s,PASSED
"click(findTestObject(""Object Repository/PIM/inputLastname""))",Chrome 131.0.0.0,,,08-12-2024 19:23:52,08-12-2024 19:23:53,0.490s,PASSED
"setText(findTestObject(""Object Repository/PIM/inputLastname""), ""Abdullah Kafi"")",Chrome 131.0.0.0,,,08-12-2024 19:23:53,08-12-2024 19:23:54,1.192s,PASSED
"click(findTestObject(""Object Repository/PIM/buttonSave""))",Chrome 131.0.0.0,,,08-12-2024 19:23:54,08-12-2024 19:23:55,0.435s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/PIM/alertFirstnamerequired""), 0)",Chrome 131.0.0.0,,,08-12-2024 19:23:55,08-12-2024 19:23:56,1.979s,PASSED
