Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Edit Karyawan,Chrome 131.0.0.0,,,09-12-2024 18:36:56,09-12-2024 18:56:44,"19m - 48,690s",FAILED
,,,,,,,
Test Cases/TC - TK 004/TC 002 Buat data karyawan,Chrome 131.0.0.0,,,09-12-2024 18:37:04,09-12-2024 18:39:36,"2m - 31,546s",PASSED
"callTestCase(findTestCase(""TC - LW 002/TC 001 Login berhasil""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,09-12-2024 18:37:13,09-12-2024 18:38:49,"1m - 35,262s",PASSED
"click(findTestObject(""PIM/buttonMenupim""))",Chrome 131.0.0.0,,,09-12-2024 18:38:49,09-12-2024 18:38:52,"3,281s",PASSED
"verifyElementPresent(findTestObject(""Dashboard/textDashboard""), 0)",Chrome 131.0.0.0,,,09-12-2024 18:38:52,09-12-2024 18:38:56,"4,181s",PASSED
"click(findTestObject(""PIM/addButton""))",Chrome 131.0.0.0,,,09-12-2024 18:38:56,09-12-2024 18:38:59,"3,231s",PASSED
"click(findTestObject(""PIM/inputFirstname""))",Chrome 131.0.0.0,,,09-12-2024 18:39:00,09-12-2024 18:39:04,"4,369s",PASSED
"setText(findTestObject(""PIM/inputFirstname""), ""Rafki"")",Chrome 131.0.0.0,,,09-12-2024 18:39:04,09-12-2024 18:39:07,"3,334s",PASSED
"click(findTestObject(""PIM/inputMiddlename""))",Chrome 131.0.0.0,,,09-12-2024 18:39:07,09-12-2024 18:39:11,"3,285s",PASSED
"setText(findTestObject(""PIM/inputMiddlename""), ""Mustafa"")",Chrome 131.0.0.0,,,09-12-2024 18:39:11,09-12-2024 18:39:18,"7,500s",PASSED
"click(findTestObject(""PIM/inputLastname""))",Chrome 131.0.0.0,,,09-12-2024 18:39:18,09-12-2024 18:39:20,"2,283s",PASSED
"setText(findTestObject(""PIM/inputLastname""), ""Abdullah Kafi"")",Chrome 131.0.0.0,,,09-12-2024 18:39:20,09-12-2024 18:39:23,"2,773s",PASSED
"click(findTestObject(""PIM/inputEmployeeid""))",Chrome 131.0.0.0,,,09-12-2024 18:39:23,09-12-2024 18:39:25,"2,083s",PASSED
"sendKeys(findTestObject(""PIM/inputEmployeeid""), Keys.chord(CONTROL, ""a"", DELETE))",Chrome 131.0.0.0,,,09-12-2024 18:39:25,09-12-2024 18:39:26,"1,006s",PASSED
"setText(findTestObject(""PIM/inputEmployeeid""), ""65456453"")",Chrome 131.0.0.0,,,09-12-2024 18:39:26,09-12-2024 18:39:29,"2,538s",PASSED
"click(findTestObject(""PIM/buttonSave""))",Chrome 131.0.0.0,,,09-12-2024 18:39:29,09-12-2024 18:39:30,"1,202s",PASSED
delay(2),Chrome 131.0.0.0,,,09-12-2024 18:39:30,09-12-2024 18:39:32,"2,067s",PASSED
closeBrowser(),Chrome 131.0.0.0,,,09-12-2024 18:39:32,09-12-2024 18:39:36,"3,535s",PASSED
,,,,,,,
