Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Edit Karyawan,Chrome 131.0.0.0,,,09-12-2024 19:25:05,09-12-2024 19:38:23,"13m - 18,519s",FAILED
,,,,,,,
Test Cases/TC - TK 004/TC 002 Buat data karyawan,Chrome 131.0.0.0,,,09-12-2024 19:25:06,09-12-2024 19:26:45,"1m - 39,560s",PASSED
"callTestCase(findTestCase(""TC - LW 002/TC 001 Login berhasil""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,09-12-2024 19:25:11,09-12-2024 19:26:05,"54,643s",PASSED
"click(findTestObject(""PIM/buttonMenupim""))",Chrome 131.0.0.0,,,09-12-2024 19:26:05,09-12-2024 19:26:14,"8,272s",PASSED
"verifyElementPresent(findTestObject(""Dashboard/textDashboard""), 0)",Chrome 131.0.0.0,,,09-12-2024 19:26:14,09-12-2024 19:26:16,"2,010s",PASSED
"click(findTestObject(""PIM/addButton""))",Chrome 131.0.0.0,,,09-12-2024 19:26:16,09-12-2024 19:26:17,"1,323s",PASSED
"click(findTestObject(""PIM/inputFirstname""))",Chrome 131.0.0.0,,,09-12-2024 19:26:17,09-12-2024 19:26:22,"5,325s",PASSED
"setText(findTestObject(""PIM/inputFirstname""), ""Rafki"")",Chrome 131.0.0.0,,,09-12-2024 19:26:22,09-12-2024 19:26:26,"3,648s",PASSED
"click(findTestObject(""PIM/inputMiddlename""))",Chrome 131.0.0.0,,,09-12-2024 19:26:26,09-12-2024 19:26:29,"2,757s",PASSED
"setText(findTestObject(""PIM/inputMiddlename""), ""Mustafa"")",Chrome 131.0.0.0,,,09-12-2024 19:26:29,09-12-2024 19:26:31,"2,404s",PASSED
"click(findTestObject(""PIM/inputLastname""))",Chrome 131.0.0.0,,,09-12-2024 19:26:31,09-12-2024 19:26:33,"1,494s",PASSED
"setText(findTestObject(""PIM/inputLastname""), ""Abdullah Kafi"")",Chrome 131.0.0.0,,,09-12-2024 19:26:33,09-12-2024 19:26:34,"1,507s",PASSED
"click(findTestObject(""PIM/inputEmployeeid""))",Chrome 131.0.0.0,,,09-12-2024 19:26:34,09-12-2024 19:26:36,"1,436s",PASSED
"sendKeys(findTestObject(""PIM/inputEmployeeid""), Keys.chord(CONTROL, ""a"", DELETE))",Chrome 131.0.0.0,,,09-12-2024 19:26:36,09-12-2024 19:26:36,"0,813s",PASSED
"setText(findTestObject(""PIM/inputEmployeeid""), ""65456453"")",Chrome 131.0.0.0,,,09-12-2024 19:26:36,09-12-2024 19:26:38,"1,220s",PASSED
"click(findTestObject(""PIM/buttonSave""))",Chrome 131.0.0.0,,,09-12-2024 19:26:38,09-12-2024 19:26:39,"1,522s",PASSED
delay(2),Chrome 131.0.0.0,,,09-12-2024 19:26:39,09-12-2024 19:26:41,"2,066s",PASSED
closeBrowser(),Chrome 131.0.0.0,,,09-12-2024 19:26:41,09-12-2024 19:26:45,"4,096s",PASSED
,,,,,,,
Test Cases/TC - EK 006/TC 001 Mengubah First Name karyawan,Chrome 131.0.0.0,,,09-12-2024 19:26:45,09-12-2024 19:28:25,"1m - 39,226s",FAILED
"callTestCase(findTestCase(""TC - TK 004/TC 001 Membuka fitur PIM""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,09-12-2024 19:26:46,09-12-2024 19:27:38,"51,633s",PASSED
"click(findTestObject(""Search Employee/inputUsername""))",Chrome 131.0.0.0,,,09-12-2024 19:27:38,09-12-2024 19:27:40,"1,867s",PASSED
"click(findTestObject(""Search Employee/inputEmployeeid""))",Chrome 131.0.0.0,,,09-12-2024 19:27:40,09-12-2024 19:27:40,"0,630s",PASSED
"setText(findTestObject(""Search Employee/inputEmployeeid""), ""060997"")",Chrome 131.0.0.0,,,09-12-2024 19:27:40,09-12-2024 19:27:42,"1,429s",PASSED
"click(findTestObject(""Search Employee/buttonSearch""))",Chrome 131.0.0.0,,,09-12-2024 19:27:42,09-12-2024 19:27:42,"0,509s",PASSED
"focus(findTestObject(""Search Employee/tableEmployee""))",Chrome 131.0.0.0,,,09-12-2024 19:27:42,09-12-2024 19:27:45,"2,497s",PASSED
