Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Hapus Karywan,Chrome 131.0.0.0,,,09-12-2024 21:04:05,09-12-2024 21:19:14,"15m - 8,717s",FAILED
,,,,,,,
Test Cases/TC - TK 004/TC 002 Buat data karyawan,Chrome 131.0.0.0,,,09-12-2024 21:04:07,09-12-2024 21:07:05,"2m - 57,117s",PASSED
"callTestCase(findTestCase(""TC - LW 002/TC 001 Login berhasil""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,09-12-2024 21:04:17,09-12-2024 21:05:50,"1m - 33,114s",PASSED
"click(findTestObject(""PIM/buttonMenupim""))",Chrome 131.0.0.0,,,09-12-2024 21:05:50,09-12-2024 21:06:03,"13,616s",PASSED
"verifyElementPresent(findTestObject(""Dashboard/textDashboard""), 0)",Chrome 131.0.0.0,,,09-12-2024 21:06:03,09-12-2024 21:06:09,"6,156s",PASSED
"click(findTestObject(""PIM/addButton""))",Chrome 131.0.0.0,,,09-12-2024 21:06:10,09-12-2024 21:06:20,"10,608s",PASSED
"click(findTestObject(""PIM/inputFirstname""))",Chrome 131.0.0.0,,,09-12-2024 21:06:20,09-12-2024 21:06:25,"4,321s",PASSED
"setText(findTestObject(""PIM/inputFirstname""), ""Rafki"")",Chrome 131.0.0.0,,,09-12-2024 21:06:25,09-12-2024 21:06:29,"4,457s",PASSED
"click(findTestObject(""PIM/inputMiddlename""))",Chrome 131.0.0.0,,,09-12-2024 21:06:29,09-12-2024 21:06:32,"2,315s",PASSED
"setText(findTestObject(""PIM/inputMiddlename""), ""Mustafa"")",Chrome 131.0.0.0,,,09-12-2024 21:06:32,09-12-2024 21:06:38,"6,399s",PASSED
"click(findTestObject(""PIM/inputLastname""))",Chrome 131.0.0.0,,,09-12-2024 21:06:38,09-12-2024 21:06:40,"1,796s",PASSED
"setText(findTestObject(""PIM/inputLastname""), ""Abdullah Kafi"")",Chrome 131.0.0.0,,,09-12-2024 21:06:40,09-12-2024 21:06:45,"4,834s",PASSED
"click(findTestObject(""PIM/inputEmployeeid""))",Chrome 131.0.0.0,,,09-12-2024 21:06:45,09-12-2024 21:06:48,"3,433s",PASSED
"sendKeys(findTestObject(""PIM/inputEmployeeid""), Keys.chord(CONTROL, ""a"", DELETE))",Chrome 131.0.0.0,,,09-12-2024 21:06:48,09-12-2024 21:06:52,"3,885s",PASSED
"setText(findTestObject(""PIM/inputEmployeeid""), ""65456453"")",Chrome 131.0.0.0,,,09-12-2024 21:06:52,09-12-2024 21:06:55,"2,899s",PASSED
"click(findTestObject(""PIM/buttonSave""))",Chrome 131.0.0.0,,,09-12-2024 21:06:55,09-12-2024 21:06:57,"1,780s",PASSED
delay(2),Chrome 131.0.0.0,,,09-12-2024 21:06:57,09-12-2024 21:06:59,"2,070s",PASSED
closeBrowser(),Chrome 131.0.0.0,,,09-12-2024 21:06:59,09-12-2024 21:07:05,"5,764s",PASSED
,,,,,,,
Test Cases/TC - HK 007/TC 001 Muncul konfirmasi sebelum hapus karyawan,Chrome 131.0.0.0,,,09-12-2024 21:07:05,09-12-2024 21:09:25,"2m - 20,015s",FAILED
"callTestCase(findTestCase(""TC - TK 004/TC 001 Membuka fitur PIM""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,09-12-2024 21:07:06,09-12-2024 21:08:37,"1m - 30,821s",PASSED
"click(findTestObject(""Search Employee/inputUsername""))",Chrome 131.0.0.0,,,09-12-2024 21:08:37,09-12-2024 21:08:39,"1,724s",PASSED
"click(findTestObject(""Search Employee/inputEmployeeid""))",Chrome 131.0.0.0,,,09-12-2024 21:08:39,09-12-2024 21:08:42,"3,385s",PASSED
"setText(findTestObject(""Search Employee/inputEmployeeid""), ""970906"")",Chrome 131.0.0.0,,,09-12-2024 21:08:42,09-12-2024 21:08:46,"3,778s",PASSED
"click(findTestObject(""Search Employee/buttonSearch""))",Chrome 131.0.0.0,,,09-12-2024 21:08:46,09-12-2024 21:08:47,"1,025s",PASSED
"focus(findTestObject(""Search Employee/tableEmployee""))",Chrome 131.0.0.0,,,09-12-2024 21:08:47,09-12-2024 21:08:49,"2,143s",PASSED
"getText(findTestObject(""Search Employee/inputEmployeeid""))",Chrome 131.0.0.0,,,09-12-2024 21:08:49,09-12-2024 21:08:50,"0,683s",PASSED
"verifyMatch(""970906"", ""970906"", false)",Chrome 131.0.0.0,,,09-12-2024 21:08:50,09-12-2024 21:08:50,"0,086s",PASSED
"click(findTestObject(""Delete Employee/buttonDelete""))",Chrome 131.0.0.0,,,09-12-2024 21:08:50,09-12-2024 21:09:25,"34,904s",FAILED
,,,,,,,
Test Cases/TC - HK 007/TC 002 Tekan icon X untuk menutup konfirmasi hapus data,Chrome 131.0.0.0,,,09-12-2024 21:09:25,09-12-2024 21:12:16,"2m - 50,563s",FAILED
"callTestCase(findTestCase(""TC - TK 004/TC 001 Membuka fitur PIM""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,09-12-2024 21:09:26,09-12-2024 21:11:21,"1m - 54,478s",PASSED
"click(findTestObject(""Search Employee/inputUsername""))",Chrome 131.0.0.0,,,09-12-2024 21:11:21,09-12-2024 21:11:23,"2,433s",PASSED
"click(findTestObject(""Search Employee/inputEmployeeid""))",Chrome 131.0.0.0,,,09-12-2024 21:11:23,09-12-2024 21:11:26,"2,590s",PASSED
"setText(findTestObject(""Search Employee/inputEmployeeid""), ""970906"")",Chrome 131.0.0.0,,,09-12-2024 21:11:26,09-12-2024 21:11:34,"8,455s",PASSED
"click(findTestObject(""Search Employee/buttonSearch""))",Chrome 131.0.0.0,,,09-12-2024 21:11:34,09-12-2024 21:11:37,"2,721s",PASSED
"focus(findTestObject(""Search Employee/tableEmployee""))",Chrome 131.0.0.0,,,09-12-2024 21:11:37,09-12-2024 21:11:40,"2,899s",PASSED
"getText(findTestObject(""Search Employee/inputEmployeeid""))",Chrome 131.0.0.0,,,09-12-2024 21:11:40,09-12-2024 21:11:41,"1,117s",PASSED
"verifyMatch(""970906"", ""970906"", false)",Chrome 131.0.0.0,,,09-12-2024 21:11:41,09-12-2024 21:11:41,"0,088s",PASSED
"click(findTestObject(""Delete Employee/buttonDelete""))",Chrome 131.0.0.0,,,09-12-2024 21:11:41,09-12-2024 21:12:16,"34,380s",FAILED
,,,,,,,
Test Cases/TC - HK 007/TC 003 Tekan tombol Cancel untuk membatalkan hapus data,Chrome 131.0.0.0,,,09-12-2024 21:12:16,09-12-2024 21:14:47,"2m - 31,442s",FAILED
"callTestCase(findTestCase(""TC - TK 004/TC 001 Membuka fitur PIM""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,09-12-2024 21:12:17,09-12-2024 21:13:57,"1m - 40,393s",PASSED
"click(findTestObject(""Search Employee/inputUsername""))",Chrome 131.0.0.0,,,09-12-2024 21:13:57,09-12-2024 21:13:58,"1,207s",PASSED
"click(findTestObject(""Search Employee/inputEmployeeid""))",Chrome 131.0.0.0,,,09-12-2024 21:13:58,09-12-2024 21:14:00,"1,482s",PASSED
"setText(findTestObject(""Search Employee/inputEmployeeid""), ""970906"")",Chrome 131.0.0.0,,,09-12-2024 21:14:00,09-12-2024 21:14:04,"4,045s",PASSED
"click(findTestObject(""Search Employee/buttonSearch""))",Chrome 131.0.0.0,,,09-12-2024 21:14:04,09-12-2024 21:14:05,"1,391s",PASSED
"focus(findTestObject(""Search Employee/tableEmployee""))",Chrome 131.0.0.0,,,09-12-2024 21:14:05,09-12-2024 21:14:08,"3,006s",PASSED
"getText(findTestObject(""Search Employee/inputEmployeeid""))",Chrome 131.0.0.0,,,09-12-2024 21:14:08,09-12-2024 21:14:11,"2,484s",PASSED
"verifyMatch(""970906"", ""970906"", false)",Chrome 131.0.0.0,,,09-12-2024 21:14:11,09-12-2024 21:14:11,"0,050s",PASSED
"click(findTestObject(""Delete Employee/buttonDelete""))",Chrome 131.0.0.0,,,09-12-2024 21:14:11,09-12-2024 21:14:47,"36,380s",FAILED
,,,,,,,
Test Cases/TC - HK 007/TC 004 Tekan tombol Yes untuk hapus data,Chrome 131.0.0.0,,,09-12-2024 21:14:47,09-12-2024 21:17:26,"2m - 38,056s",FAILED
"callTestCase(findTestCase(""TC - TK 004/TC 001 Membuka fitur PIM""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,09-12-2024 21:14:50,09-12-2024 21:16:38,"1m - 47,338s",PASSED
"click(findTestObject(""Search Employee/inputUsername""))",Chrome 131.0.0.0,,,09-12-2024 21:16:38,09-12-2024 21:16:40,"2,050s",PASSED
"click(findTestObject(""Search Employee/inputEmployeeid""))",Chrome 131.0.0.0,,,09-12-2024 21:16:40,09-12-2024 21:16:41,"1,088s",PASSED
"setText(findTestObject(""Search Employee/inputEmployeeid""), ""970906"")",Chrome 131.0.0.0,,,09-12-2024 21:16:41,09-12-2024 21:16:43,"1,866s",PASSED
"click(findTestObject(""Search Employee/buttonSearch""))",Chrome 131.0.0.0,,,09-12-2024 21:16:43,09-12-2024 21:16:44,"1,282s",PASSED
"focus(findTestObject(""Search Employee/tableEmployee""))",Chrome 131.0.0.0,,,09-12-2024 21:16:44,09-12-2024 21:16:51,"6,969s",PASSED
"getText(findTestObject(""Search Employee/inputEmployeeid""))",Chrome 131.0.0.0,,,09-12-2024 21:16:51,09-12-2024 21:16:51,"0,545s",PASSED
"verifyMatch(""970906"", ""970906"", false)",Chrome 131.0.0.0,,,09-12-2024 21:16:51,09-12-2024 21:16:51,"0,007s",PASSED
"click(findTestObject(""Delete Employee/buttonDelete""))",Chrome 131.0.0.0,,,09-12-2024 21:16:51,09-12-2024 21:17:26,"34,198s",FAILED
,,,,,,,
Test Cases/TC - HK 007/TC 005 Validasi data yang dihapus,Chrome 131.0.0.0,,,09-12-2024 21:17:26,09-12-2024 21:19:14,"1m - 48,239s",PASSED
"callTestCase(findTestCase(""TC - TK 004/TC 001 Membuka fitur PIM""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,09-12-2024 21:17:26,09-12-2024 21:18:50,"1m - 23,534s",PASSED
"click(findTestObject(""Search Employee/inputUsername""))",Chrome 131.0.0.0,,,09-12-2024 21:18:50,09-12-2024 21:18:54,"4,020s",PASSED
"click(findTestObject(""Search Employee/inputEmployeeid""))",Chrome 131.0.0.0,,,09-12-2024 21:18:54,09-12-2024 21:18:59,"4,729s",PASSED
"setText(findTestObject(""Search Employee/inputEmployeeid""), ""970906"")",Chrome 131.0.0.0,,,09-12-2024 21:18:59,09-12-2024 21:19:02,"3,311s",PASSED
"click(findTestObject(""Search Employee/buttonSearch""))",Chrome 131.0.0.0,,,09-12-2024 21:19:02,09-12-2024 21:19:03,"1,448s",PASSED
"focus(findTestObject(""Search Employee/tableEmployee""))",Chrome 131.0.0.0,,,09-12-2024 21:19:03,09-12-2024 21:19:06,"2,375s",PASSED
"getText(findTestObject(""Search Employee/inputEmployeeid""))",Chrome 131.0.0.0,,,09-12-2024 21:19:06,09-12-2024 21:19:06,"0,571s",PASSED
"verifyMatch(""970906"", ""970906"", false)",Chrome 131.0.0.0,,,09-12-2024 21:19:06,09-12-2024 21:19:06,"0,010s",PASSED
delay(5),Chrome 131.0.0.0,,,09-12-2024 21:19:06,09-12-2024 21:19:11,"5,028s",PASSED
